Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,25.299999,25.58,25.09,25.49,19.006971,1924800
2005-03-08,25.309999,25.540001,25.290001,25.32,18.880213,1481200
2005-03-09,25.25,25.42,25.1,25.17,18.768364,1967800
2005-03-10,25.129999,25.15,24.77,24.950001,18.604319,1238500
2005-03-11,24.700001,24.799999,24.4,24.459999,18.238937,2740100
2005-03-14,24.469999,24.59,24.219999,24.48,18.253853,2075600
2005-03-15,24.67,24.73,23.9,23.98,17.88102,4659600
2005-03-16,24.049999,24.120001,23.870001,24.030001,17.918312,3713600
2005-03-17,24.1,24.23,23.83,23.950001,17.858654,3258000
2005-03-18,23.950001,23.950001,23.530001,23.66,17.64241,2367900
2005-03-21,23.809999,24.129999,23.73,24.01,17.903397,2493900
2005-03-22,24.02,24.75,24.02,24.280001,18.104721,4733500
2005-03-23,24.139999,24.379999,24.07,24.299999,18.119633,2869800
2005-03-24,24.299999,24.459999,24.18,24.4,18.194201,1950300
2005-03-28,24.48,24.799999,24.48,24.57,18.320965,1727400
2005-03-29,24.35,24.639999,24.16,24.16,18.01524,2515900
2005-03-30,24.219999,24.6,24.18,24.559999,18.313509,1481100
2005-03-31,24.559999,24.799999,24.15,24.15,18.007784,2137700
2005-04-01,24.969999,25.200001,24.32,24.440001,18.224024,3865800
2005-04-04,24.200001,24.469999,24.129999,24.35,18.156916,3196200
2005-04-05,24.440001,24.9,24.389999,24.860001,18.537205,2361300
2005-04-06,24.85,25.139999,24.85,24.969999,18.619226,2329500
2005-04-07,25,25.049999,24.51,24.889999,18.559578,3057400
2005-04-08,23.799999,24,23.049999,23.700001,17.672237,14040100
2005-04-11,23.450001,23.700001,22.75,23.34,17.403793,3397700
2005-04-12,23.469999,23.469999,23.09,23.440001,17.478367,2996200
2005-04-13,23.690001,23.700001,23.040001,23.120001,17.239748,3895300
2005-04-14,23.15,23.379999,22.73,22.860001,17.045877,5004900
2005-04-15,22.610001,22.77,22.459999,22.5,16.777441,6730500
2005-04-18,22.6,22.75,22.450001,22.57,16.829632,5378200
2005-04-19,22.48,22.83,22.35,22.440001,16.7327,3545400
2005-04-20,22.5,22.67,21.870001,21.9,16.330042,6627800
2005-04-21,22,22.33,21.75,21.959999,16.374777,7034500
2005-04-22,21.959999,22,21.32,21.75,16.218189,6470600
2005-04-25,21.719999,21.9,21.639999,21.85,16.292753,3787700
2005-04-26,21.700001,21.879999,21.450001,21.549999,16.069056,2454800
2005-04-27,21.200001,21.629999,21.040001,21.469999,16.009403,3882000
2005-04-28,21.35,21.68,21.299999,21.620001,16.121254,4956900
2005-04-29,21.75,21.98,21.51,21.700001,16.180912,3798000
2005-05-02,21.65,22.040001,21.6,21.969999,16.38224,3440100
2005-05-03,22.200001,22.299999,21.959999,22.1,16.479174,3185200
2005-05-04,22.049999,22.26,21.870001,22.1,16.479174,2930600
2005-05-05,21.950001,22.190001,21.65,21.82,16.270386,3178600
2005-05-06,21.75,22.040001,21.639999,22,16.404604,2767800
2005-05-09,21.950001,22.1,21.82,22.08,16.464258,2667300
2005-05-10,21.93,22.139999,21.809999,21.860001,16.300213,2267000
2005-05-11,21.82,22.110001,21.799999,21.92,16.344952,2491500
2005-05-12,21.879999,22.299999,21.879999,21.99,16.397154,1909300
2005-05-13,21,22.26,21,22.049999,16.441893,4231900
2005-05-16,22.139999,22.15,21.799999,22.01,16.412067,890000
2005-05-17,21.84,22.08,21.82,22.049999,16.441893,1264600
2005-05-18,21.969999,22.73,21.950001,22.5,16.777441,4768500
2005-05-19,22.4,22.9,22.4,22.790001,16.993679,2824500
2005-05-20,22.65,23.059999,22.65,22.719999,16.941481,2618700
2005-05-23,22.65,23.030001,22.52,22.76,16.971312,2339800
2005-05-24,22.530001,22.780001,22.360001,22.67,16.904205,4198400
2005-05-25,22.719999,22.719999,22.299999,22.34,16.658133,2718600
2005-05-26,22.52,23.190001,22.51,23.040001,17.180096,3542700
2005-05-27,23.02,23.33,23.01,23.1,17.224838,3498600
2005-05-31,22.889999,23.280001,22.889999,23.280001,17.359056,3361600
2005-06-01,23.24,23.459999,23.1,23.360001,17.418713,2370500
2005-06-02,23.4,23.799999,23.34,23.639999,17.627495,1556400
2005-06-03,23.459999,23.6,23.25,23.459999,17.493271,1862700
2005-06-06,23.280001,23.709999,23.200001,23.67,17.649868,2062400
2005-06-07,23.75,24.120001,23.66,23.91,17.828829,2455000
2005-06-08,23.91,23.950001,23.469999,23.6,17.597668,1496600
2005-06-09,23.620001,23.690001,23.43,23.68,17.65732,1794500
2005-06-10,23.68,23.940001,23.620001,23.940001,17.851194,1148500
2005-06-13,23.809999,24.110001,23.75,23.85,17.784088,1662400
2005-06-14,23.77,23.82,23.27,23.33,17.396339,2426500
2005-06-15,23.33,23.559999,22.92,22.99,17.142815,2170500
2005-06-16,23,23.459999,22.950001,23.35,17.411257,2791500
2005-06-17,23.35,23.73,23.17,23.620001,17.612583,1762300
2005-06-20,23.59,24.030001,23.4,23.85,17.784088,3211000
2005-06-21,23.799999,24,23.780001,23.879999,17.806458,1480500
2005-06-22,23.879999,23.98,23.799999,23.91,17.828829,1995700
2005-06-23,23.84,23.85,23,23,17.15027,2739600
2005-06-24,23.07,23.08,22.629999,22.9,17.075705,2373600
2005-06-27,22.92,23,22.6,22.719999,16.941481,1009400
