Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,34.400002,34.68,34.299999,34.560001,18.498945,1139500
2005-03-08,34.5,34.779999,34.200001,34.630001,18.536406,1650600
2005-03-09,34.630001,34.68,33.630001,33.68,18.027903,2012900
2005-03-10,33.82,34.209999,33.689999,34.209999,18.3116,1842100
2005-03-11,34.080002,34.400002,33.549999,33.57,17.969028,1766800
2005-03-14,33.5,34.330002,33.470001,34.25,18.333012,1842000
2005-03-15,34.349998,34.639999,33.900002,33.900002,18.145664,1626400
2005-03-16,33.799999,34.16,33.59,33.82,18.102844,1373800
2005-03-17,33.880001,34.099998,33.549999,33.91,18.15102,1272200
2005-03-18,33.91,34.150002,33.419998,33.57,17.969028,2162500
2005-03-21,33.599998,33.810001,33.48,33.59,17.979729,1123300
2005-03-22,33.599998,33.779999,32.860001,32.93,17.626451,1875600
2005-03-23,32.93,32.950001,32.41,32.84,17.578276,2609000
2005-03-24,33,33.540001,33,33.389999,17.872679,1518600
2005-03-28,33.439999,33.790001,33.349998,33.419998,17.888737,1100100
2005-03-29,33.310001,33.310001,32.700001,32.830002,17.572922,2096000
2005-03-30,33.049999,33.740002,33,33.549999,17.958321,2885100
2005-03-31,33.77,34.150002,33.650002,34.060001,18.23131,1463600
2005-04-01,34.380001,34.540001,33.91,34.130001,18.268776,1690600
2005-04-04,34.189999,34.189999,33.790001,33.959999,18.177786,1741400
2005-04-05,34,34.360001,33.91,34.360001,18.391893,1935700
2005-04-06,34.349998,34.470001,34.200001,34.279999,18.349064,1077500
2005-04-07,34.200001,34.639999,34.110001,34.459999,18.445417,1438400
2005-04-08,34.34,34.669998,34.279999,34.529999,18.482889,1763700
2005-04-11,34.490002,34.98,34.490002,34.889999,18.675583,1249900
2005-04-12,34.790001,35.25,34.439999,35.099998,18.787985,1990300
2005-04-13,35,35.110001,34.68,34.919998,18.691643,1627500
2005-04-14,34.830002,35.099998,34.689999,34.720001,18.584589,1798800
2005-04-15,34.669998,34.830002,34.169998,34.189999,18.300894,1578800
2005-04-18,34.009998,34.630001,34.009998,34.57,18.504295,1668800
2005-04-19,34.57,34.82,34.34,34.759998,18.605997,1508900
2005-04-20,34.669998,34.75,34.380001,34.57,18.504295,1714400
2005-04-21,35,35.07,34.599998,34.880001,18.670231,1705300
