Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,69.349998,69.949997,68.879997,69,41.867073,115200
2005-03-08,68.900002,68.919998,68.410004,68.57,41.606159,76900
2005-03-09,68.489998,68.5,67.160004,67.349998,40.865898,147400
2005-03-10,67.370003,67.849998,66.910004,67.419998,40.908371,138900
2005-03-11,67.25,67.5,66.779999,66.82,40.5443,81000
2005-03-14,66.82,67.449997,66.690002,67.449997,40.926575,58400
2005-03-15,67.849998,68.540001,66.580002,67,40.653538,75400
2005-03-16,66.900002,67.400002,66.650002,66.800003,40.532185,69800
2005-03-17,67.050003,67.129997,66.519997,66.980003,40.641396,57900
2005-03-18,67.150002,67.150002,66.459999,66.599998,40.410828,166500
2005-03-21,66.75,66.769997,65.900002,66.150002,40.137775,38100
2005-03-22,66.300003,66.800003,65.110001,65.110001,39.506737,83000
2005-03-23,65,65.800003,63.849998,65,39.439991,115100
2005-03-24,65.089996,65.589996,64.910004,65.25,39.59169,86900
2005-03-28,65.099998,65.610001,64.860001,65.120003,39.512814,64900
2005-03-29,65.120003,65.589996,64.830002,64.949997,39.409641,104200
2005-03-30,63.349998,64.650002,63.150002,64.349998,39.446445,482300
2005-03-31,64.470001,64.639999,63.91,64.379997,39.464817,153000
2005-04-01,65,65.209999,63.110001,63.509998,38.931526,219800
2005-04-04,63.349998,63.349998,62.09,62.869999,38.539188,265000
2005-04-05,63.049999,63.450001,62.779999,62.880001,38.545326,148100
2005-04-06,63.099998,63.990002,63.099998,63.990002,39.225758,84000
2005-04-07,63.990002,64.82,63.830002,64.400002,39.477081,106700
2005-04-08,64.599998,64.599998,64.050003,64.139999,39.317703,128000
2005-04-11,65.599998,65.599998,64.510002,64.860001,39.759068,248000
2005-04-12,64.860001,65.849998,64.400002,65.650002,40.24332,145000
2005-04-13,65.5,66.099998,65,65.239998,39.991993,194300
2005-04-14,65.099998,65.639999,64.849998,65.110001,39.912304,283800
2005-04-15,65.160004,65.489998,64.910004,65.220001,39.979752,308800
2005-04-18,65.470001,65.889999,65.099998,65.730003,40.292366,199800
2005-04-19,65.800003,66.339996,65.690002,66.339996,40.666306,67000
2005-04-20,66.089996,66.779999,66,66.580002,40.813416,136600
2005-04-21,66.779999,66.949997,65.93,66.75,40.917614,84900
2005-04-22,66.75,67.029999,66.059998,66.75,40.917614,96100
2005-04-25,66.75,68.050003,66.650002,68.050003,41.714516,123700
2005-04-26,68,68.190002,67.699997,68,41.683876,129700
2005-04-27,67.849998,68.720001,67.330002,68.720001,42.12524,121900
2005-04-28,68.599998,68.660004,68,68.199997,41.806473,72200
2005-04-29,68,68.860001,67.650002,68.82,42.186539,130200
2005-05-02,68.870003,69.07,67.629997,68.379997,41.916805,89700
2005-05-03,68.5,68.900002,68.150002,68.75,42.143623,107400
2005-05-04,68.5,69.849998,68.300003,69.599998,42.664669,93500
2005-05-05,69.599998,70.639999,69.370003,70.5,43.216366,168000
2005-05-06,70.050003,70.669998,69.5,69.629997,42.68306,94600
2005-05-09,70.699997,73.050003,70.099998,72.150002,44.22781,334200
2005-05-10,71.900002,72.129997,71.300003,71.809998,44.019402,119800
2005-05-11,71.709999,72.25,71.449997,71.900002,44.074558,111100
2005-05-12,71.949997,72,70.349998,70.449997,43.185715,139500
2005-05-13,70.550003,70.739998,69.290001,69.470001,42.584976,189200
2005-05-16,69.25,70.199997,69.25,69.889999,42.842457,113500
2005-05-17,69.639999,70.480003,69.5,70.330002,43.112167,108400
2005-05-18,70.580002,71.779999,70.580002,71.690002,43.945843,180700
2005-05-19,71.849998,72.629997,71.809998,72.550003,44.473015,128400
2005-05-20,72.300003,72.410004,71.800003,72.25,44.289112,100500
2005-05-23,72.239998,72.239998,71.300003,71.599998,43.890663,192000
2005-05-24,71.349998,71.900002,71.010002,71.699997,43.951973,194800
2005-05-25,71.599998,71.639999,70.400002,70.550003,43.247013,120700
2005-05-26,70.650002,71.160004,68.699997,69.010002,42.303001,202500
2005-05-27,69.25,69.809998,69.199997,69.400002,42.54208,119000
2005-05-31,69.5,69.949997,69.300003,69.300003,42.48077,150900
2005-06-01,69.330002,70.480003,69.330002,70.269997,43.07539,98600
2005-06-02,70.150002,71.169998,70.089996,70.830002,43.418659,105800
2005-06-03,70.75,71.559998,70.68,70.980003,43.510609,78200
2005-06-06,70.980003,71.800003,70.970001,71.129997,43.602543,152000
2005-06-07,71.5,72,71.139999,71.18,43.633213,102000
2005-06-08,71.360001,72.099998,71.360001,71.970001,44.117477,120600
2005-06-09,71.849998,72.300003,71.379997,72.300003,44.319786,162400
2005-06-10,72.199997,72.5,72.029999,72.389999,44.374928,88100
2005-06-13,72.260002,72.660004,72.029999,72.650002,44.534317,132500
2005-06-14,72.5,73.029999,72.389999,73,44.748859,96700
2005-06-15,73.160004,74.07,72.760002,73.870003,45.282177,164800
2005-06-16,73.860001,74.419998,73.309998,73.800003,45.239262,134800
2005-06-17,74.099998,75.290001,74.099998,75.279999,46.146488,160000
2005-06-20,75.099998,75.419998,74.5,74.800003,45.852249,106200
2005-06-21,75,75.040001,74.25,74.379997,45.594807,56000
2005-06-22,74.629997,74.900002,73.629997,73.860001,45.276035,48200
2005-06-23,73.860001,74.400002,73.419998,73.440002,45.01857,82300
2005-06-24,73.300003,73.900002,73.080002,73.900002,45.30056,134000
2005-06-27,73.800003,74.120003,73.400002,74.050003,45.392521,71400
2005-06-28,74.099998,74.239998,73.620003,74.169998,45.466064,110800
2005-06-29,73.599998,73.720001,73.040001,73.349998,45.379448,91600
2005-06-30,73.5,73.639999,72.730003,73.449997,45.441322,83000
2005-07-01,73.5,73.599998,73.019997,73.400002,45.410385,79600
2005-07-05,73.199997,75.059998,73.160004,74.650002,46.183731,105400
2005-07-06,74.599998,74.779999,74.089996,74.099998,45.843456,60200
2005-07-07,73.699997,74.959999,73.459999,74.949997,46.369328,69200
2005-07-08,74.870003,76.400002,74.75,76,47.018936,126800
2005-07-11,76.099998,78.339996,76.099998,78.150002,48.349094,77000
2005-07-12,78.080002,78.68,77.519997,78.199997,48.380009,61200
2005-07-13,78.209999,78.209999,77.57,77.779999,48.120174,227400
2005-07-14,78,78,76.769997,76.849998,47.5448,192100
2005-07-15,76.5,77.580002,76.410004,77.5,47.94693,82800
2005-07-18,77.370003,77.900002,76.739998,77.720001,48.083054,123600
2005-07-19,77.849998,79,77.849998,79,48.874943,94600
2005-07-20,78.900002,80.25,78.599998,80.220001,49.629738,322500
2005-07-21,80.089996,80.25,78.449997,78.550003,48.596546,85800
2005-07-22,78.449997,80.010002,78.449997,80,49.493629,83300
2005-07-25,80,80.5,79.010002,79.379997,49.110031,218900
2005-07-26,79.300003,80.5,79.269997,80.349998,49.710159,68800
2005-07-27,80.449997,80.580002,79.949997,80.349998,49.710159,144500
2005-07-28,80.449997,81.489998,80.300003,80.800003,49.988541,74100
2005-07-29,80.82,81.199997,80.290001,80.449997,49.772026,83200
2005-08-01,80.449997,80.75,80,80.349998,49.710159,122100
2005-08-02,80.25,80.970001,79.889999,80.959999,50.087521,131100
2005-08-03,80.900002,80.900002,79.910004,80.620003,49.877197,160400
2005-08-04,80.370003,80.790001,79.25,79.400002,49.122417,232400
2005-08-05,78.980003,78.980003,76.400002,77,47.637596,214800
2005-08-08,76,76.25,74.540001,74.949997,46.369328,343100
2005-08-09,75.199997,75.620003,74,74.650002,46.183731,314600
2005-08-10,75.199997,77.199997,75.019997,76.160004,47.117916,348200
2005-08-11,77.199997,80.190002,77.18,80.099998,49.555504,311800
2005-08-12,79.699997,80.010002,78.949997,79.400002,49.122417,118500
2005-08-15,79.300003,80.760002,78.910004,79.800003,49.369877,82000
2005-08-16,79.599998,80.489998,79.599998,79.900002,49.431744,72800
2005-08-17,79.800003,79.849998,79.040001,79.400002,49.122417,75600
2005-08-18,79.379997,79.379997,78.389999,78.760002,48.726452,122800
2005-08-19,78.599998,78.860001,78.449997,78.769997,48.732666,67400
2005-08-22,78.849998,79.150002,78.43,79,48.874943,100700
2005-08-23,79,79.669998,78.860001,79.5,49.184269,69100
2005-08-24,79.300003,81.18,79.25,79.650002,49.277077,74600
2005-08-25,79.699997,80.330002,79.449997,79.900002,49.431744,49900
2005-08-26,79.919998,80.099998,79.410004,79.800003,49.369877,97600
2005-08-29,79.550003,80.059998,79.290001,79.800003,49.369877,72700
2005-08-30,79.699997,80.449997,79.599998,80.400002,49.741093,81800
2005-08-31,80.5,81.959999,80.25,81.949997,50.700024,89200
2005-09-01,81.949997,84.199997,81.809998,83.300003,51.53524,129800
2005-09-02,83.199997,84.089996,83,83.459999,51.634209,149600
2005-09-06,83.699997,85.730003,83.599998,85.699997,53.020039,146000
2005-09-07,85.5,85.809998,84.949997,85.25,52.741638,131700
2005-09-08,85,85.400002,84.300003,84.699997,52.401352,85200
2005-09-09,84.709999,85,84.32,84.989998,52.58078,36500
2005-09-12,84.75,85.849998,84.68,85.379997,52.822063,47700
2005-09-13,85.199997,85.559998,85.050003,85.160004,52.685936,81800
2005-09-14,85.160004,85.290001,84.639999,84.800003,52.463226,66300
2005-09-15,84.790001,85.389999,84.260002,84.5,52.277622,122700
2005-09-16,84.800003,85.18,84.25,84.900002,52.525101,162400
2005-09-19,84.650002,85,84.300003,84.32,52.166279,67100
2005-09-20,83,83.449997,82.989998,83.150002,51.442421,280400
2005-09-21,83.349998,83.349998,81.699997,82.559998,51.077404,238300
2005-09-22,82.400002,82.709999,80.919998,82.650002,51.133102,196500
