Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,89300,90400,89300,90100,90100,33000
2005-03-08,90000,90600,90000,90200,90200,22000
2005-03-09,90200,91050,90200,91000,91000,62000
2005-03-10,90800,90800,90150,90700,90700,20000
2005-03-11,90400,90800,90290,90625,90625,34000
2005-03-14,90400,90600,90400,90600,90600,14000
2005-03-15,90600,90800,89800,89900,89900,42000
2005-03-16,89900,89900,85800,86195,86195,151000
2005-03-17,86500,89700,86500,88200,88200,57000
2005-03-18,88200,88500,87600,87600,87600,17000
2005-03-21,87500,88200,87500,87500,87500,26000
2005-03-22,87300,87300,86500,86802,86802,40000
2005-03-23,86600,86860,86400,86500,86500,28000
2005-03-24,86500,88000,86500,87400,87400,32000
2005-03-28,87400,87400,86400,86800,86800,25000
2005-03-29,86000,87000,84500,87000,87000,86000
2005-03-30,87000,87700,87000,87000,87000,73000
2005-03-31,87200,87200,86690,87000,87000,34000
2005-04-01,86500,86800,84800,85000,85000,111000
2005-04-04,85800,87400,85700,87190,87190,78000
2005-04-05,87300,88200,87300,88000,88000,25000
2005-04-06,88000,88900,87600,88300,88300,30000
2005-04-07,88100,88100,87350,87500,87500,15000
2005-04-08,87400,87400,86800,86900,86900,17000
2005-04-11,86700,88100,86700,87570,87570,45000
2005-04-12,87800,88100,87700,87950,87950,40000
2005-04-13,87700,87950,86350,86600,86600,45000
2005-04-14,86600,86600,85800,86000,86000,35000
2005-04-15,85400,86800,85300,85800,85800,74000
2005-04-18,85800,86375,85000,85310,85310,66000
2005-04-19,85700,86001,84500,85090,85090,61000
2005-04-20,84890,85000,82800,82800,82800,133000
2005-04-21,84400,84400,83600,83900,83900,99000
2005-04-22,83750,84200,82000,82050,82050,159000
2005-04-25,82700,83600,82250,82600,82600,134000
2005-04-26,83200,83200,82410,82410,82410,71000
2005-04-27,82350,82600,82000,82305,82305,69000
2005-04-28,82125,85000,82100,83600,83600,79000
2005-04-29,83700,84800,83700,84350,84350,76000
2005-05-02,84900,86210,84800,84900,84900,69000
2005-05-03,84800,85000,84000,84400,84400,36000
2005-05-04,84800,85100,84300,84950,84950,87000
2005-05-05,84800,84800,84150,84200,84200,40000
2005-05-06,84600,84600,83600,84000,84000,30000
2005-05-09,84500,84500,83250,83250,83250,24000
2005-05-10,83950,83950,82700,83100,83100,30000
2005-05-11,83500,83700,82650,82775,82775,41000
2005-05-12,83300,83450,82900,83150,83150,29000
2005-05-13,83500,83500,82950,83000,83000,23000
2005-05-16,83200,83200,82500,82500,82500,33000
2005-05-17,82550,82800,82400,82500,82500,36000
2005-05-18,82700,83000,82600,82900,82900,9000
2005-05-19,83000,84100,82800,83700,83700,20000
2005-05-20,83700,84000,83600,84000,84000,41000
2005-05-23,84300,84300,83450,83490,83490,24000
2005-05-24,83800,85800,83800,85500,85500,102000
2005-05-25,85500,85700,85050,85200,85200,44000
2005-05-26,85450,85450,84500,84750,84750,31000
2005-05-27,84500,85400,84500,85370,85370,29000
2005-05-31,85200,85600,84100,84100,84100,52000
2005-06-01,84300,84700,84210,84350,84350,13000
2005-06-02,84350,84350,84000,84125,84125,14000
2005-06-03,84110,84110,83790,83800,83800,12000
2005-06-06,83500,83900,83000,83190,83190,31000
2005-06-07,83200,83640,83200,83390,83390,17000
2005-06-08,83500,83500,82900,83100,83100,17000
2005-06-09,83000,83490,83000,83075,83075,9000
2005-06-10,83200,83500,82800,83000,83000,26000
2005-06-13,83700,84400,83400,84400,84400,20000
2005-06-14,84300,84400,84100,84400,84400,15000
2005-06-15,84250,84250,83500,83610,83610,18000
2005-06-16,83610,83900,83100,83520,83520,42000
2005-06-17,83700,83700,82375,82375,82375,98000
2005-06-20,82300,83100,82300,82700,82700,66000
2005-06-21,82700,84098,82700,83650,83650,42000
2005-06-22,83350,83400,82850,83000,83000,12000
2005-06-23,82995,84300,82995,83000,83000,29000
2005-06-24,82510,83100,82510,82800,82800,22000
2005-06-27,83000,83700,82800,83500,83500,41000
2005-06-28,83700,83700,83100,83100,83100,22000
2005-06-29,83400,83400,83200,83350,83350,17000
2005-06-30,83200,83700,83200,83500,83500,9000
2005-07-01,83800,83850,83600,83840,83840,15000
2005-07-05,83875,84400,83840,84300,84300,23000
2005-07-06,84600,85375,84500,85375,85375,30000
2005-07-07,84700,85450,84700,85200,85200,18000
2005-07-08,85100,85100,84700,85000,85000,15000
2005-07-11,84900,85400,84800,85300,85300,17000
2005-07-12,84800,84800,84300,84600,84600,17000
2005-07-13,84600,84600,84350,84400,84400,7000
2005-07-14,84500,84550,83600,83700,83700,19000
2005-07-15,83700,84100,83600,84000,84000,36000
2005-07-18,84000,84000,83600,83600,83600,12000
2005-07-19,83600,83900,83600,83700,83700,22000
2005-07-20,83790,83920,83690,83880,83880,15000
2005-07-21,83650,83879,83650,83700,83700,10000
2005-07-22,83750,83830,83700,83710,83710,20000
2005-07-25,84050,84050,83700,84000,84000,18000
2005-07-26,84100,84100,83700,83800,83800,25000
2005-07-27,84000,84200,83800,83800,83800,16000
2005-07-28,83600,83900,83500,83700,83700,24000
2005-07-29,83700,83800,83350,83500,83500,19000
2005-08-01,83825,84100,83800,84100,84100,19000
2005-08-02,84100,84100,83600,83600,83600,19000
2005-08-03,83750,83800,83300,83400,83400,28000
2005-08-04,83250,84000,83200,83995,83995,67000
2005-08-05,84000,84300,83500,83500,83500,42000
2005-08-08,83750,83950,83200,83300,83300,30000
2005-08-09,83300,83300,83000,83200,83200,31000
2005-08-10,83125,83260,83000,83200,83200,27000
2005-08-11,83000,84100,83000,84100,84100,31000
2005-08-12,84100,84200,83750,84200,84200,17000
2005-08-15,83900,83925,83200,83390,83390,29000
2005-08-16,83250,83400,82990,83225,83225,33000
2005-08-17,83225,83225,82950,82950,82950,22000
2005-08-18,82750,85000,82650,84700,84700,77000
2005-08-19,84400,85200,84400,85000,85000,27000
2005-08-22,84800,84800,84400,84600,84600,11000
2005-08-23,84600,84800,84600,84600,84600,10000
2005-08-24,84600,84600,84100,84375,84375,19000
2005-08-25,84200,84200,83700,83700,83700,13000
2005-08-26,83725,83800,83100,83200,83200,33000
2005-08-29,83000,83300,82400,83300,83300,27000
2005-08-30,83100,83200,82890,82900,82900,17000
2005-08-31,82900,83150,82500,83150,83150,19000
2005-09-01,83290,83290,82680,82700,82700,36000
2005-09-02,82700,83000,82700,82990,82990,35000
2005-09-06,83250,84600,83200,83800,83800,62000
2005-09-07,83950,84100,83900,84100,84100,22000
2005-09-08,83800,84400,83800,84400,84400,29000
2005-09-09,83900,84300,83750,83750,83750,33000
2005-09-12,83600,83800,83100,83390,83390,59000
2005-09-13,83100,83200,82600,83190,83190,99000
2005-09-14,83200,83600,82800,83100,83100,71000
2005-09-15,82690,82900,82500,82500,82500,69000
2005-09-16,82700,83000,81400,81400,81400,92000
2005-09-19,81950,82400,81300,81600,81600,86000
2005-09-20,81800,82400,81510,81600,81600,46000
2005-09-21,81600,81700,80460,80500,80500,51000
2005-09-22,80000,81700,78800,80500,80500,116000
2005-09-23,80300,83200,80300,82500,82500,72000
