Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,37,37.724998,37,37.549999,18.591978,3159800
2005-03-08,37.5,37.650002,37.209999,37.575001,18.604357,2903000
2005-03-09,37.299999,37.544998,37,37.035,18.336983,4455400
2005-03-10,37.035,37.235001,36.689999,37.139999,18.388971,3325400
2005-03-11,37.075001,37.240002,36.865002,36.880001,18.260242,2733200
2005-03-14,36.849998,37.415001,36.814999,37.415001,18.525139,2890400
2005-03-15,37.5,37.615002,37.154999,37.154999,18.3964,1763000
2005-03-16,37.154999,37.470001,36.799999,37.119999,18.379072,3453400
2005-03-17,37.450001,37.900002,37.145,37.830002,18.730619,3274400
2005-03-18,37.775002,38,37.43,37.904999,18.767746,7271400
2005-03-21,37.889999,37.895,37.549999,37.775002,18.703386,2388800
2005-03-22,37.939999,38.005001,37.150002,37.195,18.416212,4044400
2005-03-23,37.099998,37.099998,36.509998,36.555,18.099325,5314200
2005-03-24,36.599998,37.029999,36.599998,36.880001,18.260242,2126400
2005-03-28,36.990002,37.16,36.785,36.799999,18.22064,2406400
2005-03-29,36.724998,36.865002,36.244999,36.244999,17.945837,3943600
2005-03-30,36.25,36.965,36.25,36.849998,18.245392,2693800
2005-03-31,37.025002,37.5,36.924999,37.215,18.426111,2547600
2005-04-01,37.470001,37.700001,37.325001,37.634998,18.634062,3619400
2005-04-04,37.674999,38.044998,37.445,38.040001,18.834599,2956800
2005-04-05,38.25,38.424999,38.205002,38.25,18.938564,3059000
2005-04-06,38.264999,38.435001,37.855,37.924999,18.777655,2359000
2005-04-07,37.945,38.355,37.845001,38.25,18.938564,2418600
2005-04-08,38.075001,38.080002,37.625,37.634998,18.634062,2727800
2005-04-11,37.59,37.904999,37.575001,37.75,18.691006,2087400
2005-04-12,37.75,38.150002,37.439999,38.055,18.842022,2769000
2005-04-13,38.049999,38.334999,37.790001,37.985001,18.807356,2298800
2005-04-14,37.950001,38.134998,37.634998,37.634998,18.634062,2557400
2005-04-15,37.634998,37.695,36.744999,36.790001,18.215687,3598800
2005-04-18,36.650002,37.16,36.560001,36.775002,18.208261,3269200
2005-04-19,36.849998,37.334999,36.665001,37.305,18.470669,3284600
2005-04-20,37.075001,37.189999,36.400002,36.455002,18.049824,4228600
2005-04-21,37.049999,37.215,36.700001,37.115002,18.376602,3290400
2005-04-22,37.09,37.224998,36.720001,37.125,18.381552,2368400
2005-04-25,37.310001,37.709999,37.279999,37.639999,18.636543,1616600
2005-04-26,37.549999,37.630001,37.154999,37.154999,18.3964,1425800
2005-04-27,37.099998,37.709999,36.82,37.330002,18.483055,3207600
2005-04-28,37.200001,37.705002,37.105,37.18,18.408785,3375400
2005-04-29,37.18,37.759998,37.134998,37.700001,18.666252,2841400
2005-05-02,37.775002,38,37.654999,37.830002,18.730619,1899800
