Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,46.07,46.5,45.919998,46.07,36.503536,688000
2005-03-08,46.07,46.400002,45.549999,46.290001,36.677864,951200
2005-03-09,46.290001,46.369999,45.700001,45.700001,36.210365,543000
2005-03-10,45.950001,45.990002,44.849998,45.610001,36.13905,970300
2005-03-11,45.619999,45.93,45.02,45.139999,35.766663,687800
2005-03-14,45.150002,45.470001,44.939999,45.139999,35.766663,405900
2005-03-15,45.209999,45.330002,44.889999,44.950001,35.616096,678000
2005-03-16,44.75,44.900002,44.419998,44.470001,35.235775,434400
2005-03-17,44.34,45.009998,44.130001,44.77,35.47348,589600
2005-03-18,44.650002,45.439999,44.490002,44.689999,35.41008,1862900
2005-03-21,44.799999,45.220001,44.529999,44.639999,35.370468,663400
2005-03-22,44.66,44.919998,44.240002,44.240002,35.053535,630900
2005-03-23,44.25,44.299999,43.720001,43.990002,34.855457,739500
2005-03-24,44.009998,44.650002,44,44.209999,35.029766,525900
2005-03-28,44.310001,44.689999,43.459999,44.299999,35.101059,535700
2005-03-29,44.049999,44.48,43.759998,43.849998,34.744522,1091900
2005-03-30,43.950001,44.389999,43.720001,44.049999,34.902985,620600
2005-03-31,43.970001,44.380001,43.919998,43.990002,34.855457,432800
2005-04-01,44.119999,44.299999,43.490002,43.66,34.593964,501000
2005-04-04,43.549999,43.580002,42.810001,43.150002,34.189869,727500
2005-04-05,43.16,43.5,42.5,43.209999,34.237419,1008800
2005-04-06,43.349998,43.709999,43.279999,43.549999,34.506813,447400
2005-04-07,43.5,43.540001,43.150002,43.34,34.340412,401200
2005-04-08,43.34,43.490002,42.860001,42.91,33.999702,465400
2005-04-11,42.799999,42.970001,42.349998,42.549999,33.71447,653400
2005-04-12,44.25,44.25,43.25,43.919998,34.799992,1886400
2005-04-13,43.919998,43.919998,43.459999,43.509998,34.475121,816800
2005-04-14,44.950001,46.200001,44.75,45.439999,36.004345,2265700
2005-04-15,45.599998,45.849998,44.48,44.5,35.25956,1323700
2005-04-18,44.610001,45.150002,44.299999,45,35.655727,628500
2005-04-19,45,45.400002,44.73,45.290001,35.885502,765800
2005-04-20,45.299999,45.310001,44.139999,44.209999,35.029766,673900
2005-04-21,44.459999,45.27,43.549999,43.950001,34.823746,1576600
2005-04-22,43.900002,43.900002,42.810001,43.169998,34.205719,1406500
2005-04-25,43.369999,44.400002,43.369999,44.25,35.061459,733000
2005-04-26,44.099998,44.5,43.950001,44.009998,34.871292,881900
2005-04-27,44.07,44.599998,43.5,44.169998,34.998058,737600
2005-04-28,44.169998,44.360001,43.330002,43.52,34.483051,620600
2005-04-29,43.650002,44.82,43.5,44.57,35.31501,1055400
2005-05-02,44.560001,45,44.34,44.639999,35.370468,852400
2005-05-03,44.27,44.41,43.349998,43.939999,34.815826,1349400
2005-05-04,44.299999,44.650002,43.57,44.049999,34.902985,1266500
2005-05-05,44,44.290001,43.68,44.07,34.918839,676900
2005-05-06,44.32,44.360001,43.470001,43.68,34.609821,959900
2005-05-09,43.82,43.869999,43.259998,43.700001,34.625675,1089100
2005-05-10,43.630001,43.630001,42.84,42.98,34.055168,813400
2005-05-11,42.98,43.130001,42.5,42.990002,34.063099,740600
2005-05-12,42.990002,43.759998,42.02,42.259998,33.484676,683600
2005-05-13,42.400002,42.549999,41.380001,42.060001,33.32621,1205600
2005-05-16,42.060001,42.860001,42.060001,42.830002,33.936333,919700
2005-05-17,42.700001,43.5,42.5,43.5,34.467186,1251400
2005-05-18,43.43,44.84,43.43,44.200001,35.187668,1732400
2005-05-19,44.25,44.279999,43.900002,44,35.028465,1325100
2005-05-20,44,44.07,43.400002,43.700001,34.789623,548200
2005-05-23,43.799999,44.360001,43.759998,44.25,35.227474,481500
2005-05-24,44.099998,44.200001,43.669998,44.040001,35.060303,498600
2005-05-25,43.939999,44.080002,43.41,43.799999,34.869213,539300
2005-05-26,44.049999,44.599998,44.02,44.599998,35.506119,946300
2005-05-27,44.450001,45.060001,44.419998,45,35.824554,760000
2005-05-31,44.77,45.02,44.400002,44.450001,35.386677,1093500
2005-06-01,44.5,45.209999,44.490002,45.16,35.951923,755000
2005-06-02,45.169998,45.380001,44.77,45.09,35.896202,1466400
2005-06-03,45.09,45.439999,44.900002,45.049999,35.864346,828700
2005-06-06,45.049999,45.540001,45,45.540001,36.254444,928600
2005-06-07,45.689999,45.990002,45.299999,45.400002,36.142994,735100
2005-06-08,45.599998,45.639999,44.919998,44.98,35.80862,885700
2005-06-09,44.869999,45.259998,44.709999,44.990002,35.816605,600400
2005-06-10,44.959999,45.389999,44.669998,45.02,35.840481,556700
2005-06-13,45.18,45.580002,44.759998,45.450001,36.1828,466700
2005-06-14,45.400002,45.740002,45.369999,45.52,36.238518,328800
2005-06-15,45.68,45.73,44.959999,45.290001,36.055424,568100
2005-06-16,45.279999,46,45.279999,45.700001,36.381828,793900
2005-06-17,46.25,46.91,46.099998,46.630001,37.122189,1080800
2005-06-20,46.380001,46.529999,46.07,46.299999,36.859489,727600
2005-06-21,46.400002,46.580002,46.25,46.400002,36.939091,1105800
2005-06-22,46.75,47.259998,46.709999,47.049999,37.456554,1126200
2005-06-23,47.029999,47.139999,45.919998,45.950001,36.580856,680700
2005-06-24,45.849998,46.34,45.169998,45.490002,36.214645,1380200
2005-06-27,45.650002,45.84,45.380001,45.459999,36.190758,610300
2005-06-28,45.599998,46.360001,45.549999,46.349998,36.899284,597000
2005-06-29,46.369999,46.82,46.27,46.549999,37.058502,826800
2005-06-30,46.799999,47.09,46.139999,47.09,37.4884,1370700
2005-07-01,47.200001,47.32,46.91,47.130001,37.520241,1000600
2005-07-05,47,47.34,46.639999,47.119999,37.512283,518200
2005-07-06,47,47.02,46.07,46.27,36.835598,789300
2005-07-07,46.02,46.349998,45.34,46.34,36.891315,851400
2005-07-08,46.34,47.299999,46.32,47.16,37.544128,869900
2005-07-11,47.549999,47.970001,47.349998,47.810001,38.0616,551800
2005-07-12,47.700001,47.849998,47.369999,47.41,37.743156,907900
2005-07-13,47.310001,47.540001,47.060001,47.25,37.61578,795800
2005-07-14,47.5,48.02,47.209999,48.02,38.228775,826800
2005-07-15,48.02,48.25,47.790001,48,38.212856,1104000
2005-07-18,48,48.32,47.77,48,38.212856,809600
2005-07-19,48.200001,48.259998,47.799999,47.84,38.085503,1152900
2005-07-20,47.880001,48.630001,47.549999,48.630001,38.714409,1526500
2005-07-21,48.75,48.790001,47.880001,48.310001,38.459644,1081400
2005-07-22,48.310001,48.450001,47.91,48.419998,38.547222,509200
2005-07-25,48.630001,48.630001,47.740002,47.779999,38.037712,564400
2005-07-26,48.049999,48.049999,47.509998,47.740002,38.005867,734600
