Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,17.9,17.99,17.84,17.940001,9.69267,877500
2005-03-08,17.9,17.9,17.709999,17.85,9.644045,1177900
2005-03-09,17.75,17.809999,17.57,17.66,9.541388,2670500
2005-03-10,17.68,17.91,17.66,17.860001,9.649447,1541700
2005-03-11,17.860001,17.950001,17.65,17.66,9.541388,767300
2005-03-14,17.610001,17.780001,17.540001,17.629999,9.525184,1778000
2005-03-15,17.66,17.799999,17.540001,17.59,9.50357,879700
2005-03-16,17.549999,17.68,17.299999,17.370001,9.38471,1341200
2005-03-17,17.5,17.549999,17.35,17.379999,9.390112,1056600
2005-03-18,17.389999,17.450001,17.120001,17.190001,9.287461,1808000
2005-03-21,17.24,17.26,17.059999,17.23,9.309068,1063900
2005-03-22,17.23,17.4,16.84,16.91,9.136177,1475900
2005-03-23,16.92,17.040001,16.77,16.93,9.146987,1470400
2005-03-24,16.950001,17.190001,16.950001,17.040001,9.206417,2478500
2005-03-28,17.059999,17.18,16.9,16.92,9.141578,1497800
2005-03-29,16.58,16.700001,16.5,16.57,9.063905,1819400
2005-03-30,16.66,17.030001,16.66,17.02,9.31006,1408500
2005-03-31,17.02,17.23,17.01,17.18,9.397581,1535300
2005-04-01,17.48,17.5,17.07,17.23,9.424932,1598400
2005-04-04,17.23,17.23,17.02,17.139999,9.375703,1026200
2005-04-05,17.139999,17.26,17.07,17.26,9.441343,957200
2005-04-06,17.290001,17.299999,17.07,17.129999,9.370232,6795400
2005-04-07,17.200001,17.27,17.120001,17.16,9.386639,1646100
2005-04-08,17.16,17.200001,17.030001,17.120001,9.364763,1106000
2005-04-11,17.110001,17.24,17.07,17.23,9.424932,1137800
2005-04-12,17.23,17.389999,17.08,17.32,9.474162,905300
2005-04-13,17.34,17.4,17.200001,17.26,9.441343,832300
2005-04-14,17.200001,17.27,17.049999,17.08,9.342882,877400
2005-04-15,17.08,17.18,16.93,16.93,9.260832,1742400
2005-04-18,16.93,17.08,16.83,17,9.299119,1441600
2005-04-19,17.01,17.15,16.950001,17.15,9.381171,1111700
2005-04-20,17.280001,17.280001,17.07,17.209999,9.413991,1666300
2005-04-21,17.450001,17.52,17.299999,17.52,9.583562,1599000
2005-04-22,17.440001,17.639999,17.4,17.530001,9.589035,1127100
2005-04-25,17.610001,17.709999,17.57,17.709999,9.687491,914800
2005-04-26,17.65,17.74,17.42,17.42,9.528863,1082700
2005-04-27,17.24,17.5,17.1,17.35,9.490573,1360500
