Date,Open,High,Low,Close,Adj Close,Volume
2005-03-07,63.580002,63.599998,62.580002,63,39.396698,19294800
2005-03-08,63.150002,63.599998,62.799999,63.099998,39.459232,18192000
2005-03-09,63.099998,64.370003,60.700001,60.790001,38.01469,68153700
2005-03-10,60.900002,61.040001,59.5,60.369999,37.752037,40001800
2005-03-11,60.369999,61.59,60.169998,61.049999,38.177273,24561500
2005-03-14,61.060001,61.5,60.040001,61.279999,38.321106,19564300
2005-03-15,61.290001,61.860001,60.27,60.349998,37.739536,17576600
2005-03-16,60,60.849998,59.470001,60.290001,37.70203,20973100
2005-03-17,60.880001,61.639999,60.639999,61.490002,38.452435,21776500
2005-03-18,61.59,62.849998,61.529999,62.650002,39.177845,32514400
2005-03-21,62.650002,62.98,61.799999,62.150002,38.865162,17826000
2005-03-22,61.75,62.84,60.810001,60.900002,38.083473,19678200
2005-03-23,60.900002,60.900002,59.610001,60.09,37.576958,26250300
2005-03-24,60.299999,60.650002,58.549999,59,36.895325,24912700
2005-03-28,59.040001,59.439999,58.360001,58.889999,36.826542,20406600
2005-03-29,58.889999,59.75,58.040001,58.27,36.438808,18928100
2005-03-30,58.650002,59.32,57.380001,59.240002,37.045406,26068500
2005-03-31,59.830002,60.32,59.540001,59.599998,37.270538,20912800
2005-04-01,60.099998,60.700001,59.93,60.549999,37.864601,18580100
2005-04-04,60.950001,61.740002,60.119999,60.650002,37.927151,23274300
2005-04-05,60.5,61.040001,59.849998,60.060001,37.558182,15824800
2005-04-06,60.25,61.049999,59.970001,60.900002,38.083473,16945600
2005-04-07,61.349998,61.369999,60.169998,60.849998,38.052208,16666500
2005-04-08,60.75,60.869999,60,60.009998,37.526936,12590000
2005-04-11,59.990002,60.43,59.360001,60.290001,37.70203,15889100
2005-04-12,59.939999,60.57,59.799999,60.43,37.789577,22513500
2005-04-13,60.150002,60.75,58.939999,59.150002,36.989128,23788600
2005-04-14,59.279999,59.689999,58.599998,58.75,36.738976,18504600
2005-04-15,58.450001,59.400002,56.099998,56.189999,35.138103,27961700
2005-04-18,55.650002,57.349998,55.400002,57.25,35.800972,23091600
2005-04-19,57.349998,59.240002,57.349998,58.630001,36.663937,23683800
2005-04-20,58.049999,58.91,57.009998,57.139999,35.732178,20656000
2005-04-21,57.549999,59.299999,57.389999,59.279999,37.070412,16758300
2005-04-22,59.279999,59.950001,58.450001,59.419998,37.157967,17097500
2005-04-25,59.959999,60.470001,59.599998,59.959999,37.495647,14957500
2005-04-26,59.959999,60.16,59.27,59.27,37.064167,12968700
2005-04-27,59.25,59.450001,58.099998,58.380001,36.507614,20395700
2005-04-28,57.349998,57.75,56,56,35.019295,31858300
2005-04-29,56.5,57.240002,56.099998,57.029999,35.663406,26476200
2005-05-02,57,57.75,56.470001,57.740002,36.107391,16498700
2005-05-03,57.330002,57.5,56.150002,56.5,35.331974,18222700
2005-05-04,56.849998,57.299999,56.07,57.23,35.788471,19519600
2005-05-05,57.349998,57.970001,57.110001,57.799999,36.144917,18810200
2005-05-06,58.049999,58.650002,57.5,57.599998,36.019844,13544800
2005-05-09,57.75,58.049999,57.599998,58.009998,36.27623,13478600
2005-05-10,57.529999,57.869999,57,57.23,35.788471,14161700
2005-05-11,56.939999,57.41,56.549999,57.290001,36.008446,14496100
2005-05-12,57.25,57.25,54.5,54.82,34.455975,23809200
2005-05-13,54.990002,55,53.580002,53.700001,33.752041,24285100
2005-05-16,53.5,53.650002,52.779999,53.349998,33.532051,34416200
